Issue,Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.0004,0.25,0.275,0.3,0.325,0.65,0.7,0.275
0.0008,0.1,0.225,0.475,0.5,0.525,0.65,0.3
0.0012,0.025,0.175,0.25,0.575,0.7,0.8,0.4
0.0016,0.1,0.15,0.175,0.25,0.325,0.625,0.075
0.002,0.1,0.15,0.375,0.425,0.75,0.775,0.4
0.0024,0.025,0.075,0.25,0.525,0.65,0.675,0.15
0.0028,0.025,0.225,0.475,0.525,0.575,0.65,0.175
0.0032,0.125,0.2,0.225,0.35,0.425,0.575,0.2
0.0036,0.125,0.225,0.45,0.5,0.55,0.75,0.225
0.004,0.025,0.05,0.2,0.325,0.425,0.6,0.325
0.0044,0.1,0.125,0.275,0.3,0.75,0.8,0.375
0.0048,0.05,0.3,0.4,0.425,0.675,0.75,0.3
0.0052,0.2,0.325,0.425,0.525,0.575,0.8,0.3
0.0056,0.075,0.125,0.175,0.2,0.525,0.775,0.05
0.006,0.1,0.275,0.475,0.625,0.65,0.8,0.325
0.0064,0.275,0.425,0.7,0.75,0.775,0.825,0.15
0.0068,0.125,0.2,0.45,0.575,0.625,0.775,0.15
0.0072,0.125,0.4,0.475,0.5,0.625,0.7,0.325
0.0076,0.1,0.2,0.3,0.325,0.4,0.825,0.225
0.008,0.175,0.25,0.625,0.65,0.675,0.8,0.1
0.0084,0.35,0.375,0.45,0.625,0.65,0.75,0.025
0.0088,0.05,0.175,0.275,0.3,0.35,0.8,0.2
0.0092,0.025,0.25,0.5,0.55,0.65,0.775,0.05
0.0096,0.05,0.175,0.375,0.425,0.55,0.75,0.35
0.01,0.025,0.125,0.275,0.325,0.35,0.675,0.3
0.0104,0.2,0.325,0.375,0.65,0.725,0.775,0.4
0.0108,0.025,0.275,0.35,0.425,0.675,0.7,0.375
0.0112,0.15,0.325,0.4,0.5,0.7,0.8,0.175
0.0116,0.05,0.175,0.375,0.65,0.725,0.8,0.25
0.012,0.05,0.15,0.325,0.35,0.575,0.675,0.175
0.0124,0.275,0.425,0.5,0.55,0.7,0.8,0.025
0.0128,0.1,0.275,0.625,0.675,0.725,0.75,0.325
0.0132,0.025,0.175,0.35,0.5,0.675,0.75,0.25
0.0136,0.2,0.325,0.35,0.4,0.575,0.625,0.35
0.014,0.075,0.1,0.125,0.2,0.25,0.275,0.2
0.0144,0.175,0.525,0.6,0.625,0.675,0.7,0.375
0.0148,0.225,0.35,0.425,0.45,0.65,0.8,0.175
0.0152,0.125,0.175,0.2,0.6,0.625,0.675,0.4
0.0156,0.075,0.125,0.575,0.6,0.675,0.8,0.075
0.016,0.1,0.125,0.15,0.3,0.35,0.575,0.4
0.0164,0.05,0.075,0.425,0.45,0.6,0.625,0.275
0.0168,0.075,0.125,0.175,0.25,0.375,0.5,0.175
0.0172,0.05,0.2,0.25,0.475,0.5,0.8,0.325
0.0176,0.05,0.125,0.225,0.4,0.8,0.825,0.375
0.018,0.075,0.175,0.35,0.375,0.425,0.8,0.075
0.0184,0.175,0.2,0.25,0.275,0.425,0.65,0.275
0.0188,0.075,0.425,0.65,0.7,0.8,0.825,0.4
0.0192,0.25,0.3,0.5,0.7,0.75,0.775,0.225
0.0196,0.075,0.15,0.175,0.325,0.6,0.625,0.375
0.02,0.05,0.2,0.425,0.575,0.6,0.65,0.325
0.0204,0.1,0.325,0.375,0.425,0.6,0.675,0.025
0.0208,0.025,0.3,0.325,0.575,0.75,0.775,0.275
0.0212,0.375,0.475,0.5,0.525,0.7,0.725,0.325
0.0216,0.05,0.125,0.225,0.525,0.775,0.825,0.3
0.022,0.15,0.325,0.4,0.525,0.7,0.775,0.4
0.0224,0.2,0.425,0.525,0.65,0.7,0.725,0.175
0.0228,0.45,0.475,0.6,0.625,0.75,0.775,0.4
0.0232,0.225,0.275,0.4,0.7,0.8,0.825,0.05
0.0236,0.05,0.075,0.125,0.15,0.45,0.75,0.1
0.024,0.05,0.1,0.15,0.425,0.525,0.7,0.275
0.0244,0.075,0.125,0.5,0.525,0.7,0.8,0.05
0.0248,0.025,0.15,0.3,0.475,0.5,0.8,0.35
0.0252,0.125,0.2,0.225,0.35,0.525,0.825,0.275
0.0256,0.1,0.15,0.2,0.3,0.375,0.75,0.025
0.026,0.15,0.375,0.4,0.425,0.75,0.825,0.275
0.0264,0.075,0.175,0.2,0.5,0.6,0.8,0.35
0.0268,0.125,0.275,0.3,0.325,0.675,0.775,0.25
0.0272,0.225,0.475,0.625,0.675,0.8,0.825,0.275
0.0276,0.175,0.275,0.4,0.475,0.65,0.7,0.275
0.028,0.025,0.05,0.1,0.425,0.45,0.475,0.2
0.0284,0.225,0.275,0.3,0.35,0.375,0.825,0.275
0.0288,0.075,0.15,0.2,0.275,0.475,0.675,0.275
0.0292,0.05,0.3,0.35,0.525,0.575,0.75,0.325
0.0296,0.05,0.3,0.475,0.55,0.675,0.8,0.025
0.03,0.4,0.425,0.475,0.55,0.775,0.825,0.275
0.0304,0.025,0.325,0.4,0.45,0.5,0.725,0.05
0.0308,0.1,0.3,0.4,0.55,0.6,0.625,0.15
0.0312,0.175,0.3,0.575,0.65,0.725,0.75,0.275
0.0316,0.3,0.375,0.55,0.575,0.65,0.775,0.1
0.032,0.225,0.5,0.6,0.625,0.7,0.75,0.25
0.0324,0.025,0.05,0.35,0.65,0.725,0.75,0.175
0.0328,0.175,0.425,0.45,0.475,0.75,0.775,0.35
0.0332,0.025,0.075,0.35,0.45,0.65,0.7,0.025
0.0336,0.05,0.15,0.175,0.25,0.425,0.825,0.075
0.034,0.025,0.1,0.275,0.3,0.475,0.675,0.35
0.0344,0.125,0.3,0.4,0.45,0.65,0.75,0.325
0.0348,0.05,0.075,0.1,0.125,0.6,0.7,0.325
0.0352,0.075,0.25,0.525,0.55,0.6,0.825,0.3
0.0356,0.45,0.475,0.525,0.65,0.675,0.825,0.4
0.036,0.025,0.05,0.075,0.175,0.25,0.625,0.175
0.0364,0.25,0.3,0.45,0.55,0.75,0.775,0.275
0.0368,0.075,0.125,0.15,0.425,0.65,0.825,0.2
0.0372,0.25,0.475,0.55,0.575,0.625,0.725,0.225
0.0376,0.225,0.275,0.325,0.4,0.425,0.45,0.175
0.038,0.1,0.3,0.45,0.5,0.575,0.8,0.15
0.0384,0.1,0.3,0.425,0.5,0.625,0.7,0.225
0.0388,0.025,0.175,0.25,0.55,0.8,0.825,0.325
0.0392,0.025,0.225,0.25,0.4,0.55,0.6,0.275
0.0396,0.15,0.175,0.2,0.325,0.35,0.475,0.375
0.04,0.025,0.1,0.325,0.575,0.7,0.75,0.075
0.0404,0.025,0.175,0.675,0.75,0.775,0.825,0.2
0.0408,0.3,0.35,0.525,0.725,0.75,0.8,0.325
0.0412,0.075,0.175,0.275,0.425,0.5,0.65,0.3
0.0416,0.025,0.075,0.125,0.45,0.55,0.575,0.325
0.042,0.1,0.175,0.2,0.7,0.75,0.8,0.125
0.0424,0.125,0.3,0.35,0.375,0.625,0.775,0.225
0.0428,0.05,0.125,0.15,0.2,0.7,0.75,0.15
0.0432,0.125,0.25,0.275,0.575,0.6,0.8,0.1
0.0436,0.025,0.05,0.225,0.55,0.7,0.775,0.1
0.044,0.125,0.225,0.275,0.425,0.65,0.675,0.25
0.0444,0.075,0.25,0.35,0.475,0.5,0.75,0.15
0.0448,0.025,0.2,0.35,0.425,0.475,0.75,0.075
0.0452,0.025,0.325,0.525,0.575,0.625,0.8,0.15
0.0456,0.175,0.2,0.25,0.6,0.725,0.825,0.1
0.046,0.1,0.25,0.35,0.45,0.7,0.8,0.375
0.0464,0.025,0.125,0.225,0.25,0.45,0.8,0.275
0.0468,0.025,0.05,0.075,0.125,0.25,0.55,0.3
0.0472,0.225,0.325,0.5,0.55,0.6,0.8,0.125
0.0476,0.025,0.175,0.225,0.425,0.65,0.775,0.125
0.048,0.075,0.15,0.475,0.5,0.525,0.6,0.275
0.0484,0.05,0.125,0.2,0.275,0.375,0.775,0.325
0.0488,0.025,0.1,0.2,0.225,0.475,0.5,0.025
0.0492,0.05,0.175,0.325,0.5,0.675,0.75,0.35
0.0496,0.05,0.2,0.65,0.675,0.75,0.8,0.4
0.05,0.05,0.325,0.425,0.45,0.65,0.75,0.025
0.0504,0.075,0.1,0.275,0.425,0.5,0.65,0.125
0.0508,0.275,0.4,0.425,0.625,0.7,0.725,0.175
0.0512,0.25,0.4,0.45,0.625,0.65,0.725,0.075
0.0516,0.175,0.425,0.475,0.5,0.525,0.725,0.275
0.052,0.2,0.25,0.425,0.55,0.625,0.725,0.35
0.0524,0.15,0.25,0.325,0.425,0.45,0.525,0.05
0.0528,0.1,0.225,0.25,0.525,0.55,0.6,0.25
0.0532,0.05,0.15,0.175,0.3,0.775,0.8,0.125
0.0536,0.025,0.3,0.45,0.65,0.675,0.7,0.325
0.054,0.175,0.375,0.4,0.55,0.575,0.8,0.35
0.0544,0.025,0.175,0.2,0.275,0.675,0.775,0.15
0.0548,0.2,0.225,0.275,0.4,0.425,0.725,0.225
0.0552,0.275,0.3,0.35,0.4,0.625,0.725,0.225
0.0556,0.15,0.175,0.475,0.525,0.625,0.725,0.05
0.056,0.05,0.075,0.225,0.25,0.375,0.725,0.275
0.0564,0.025,0.3,0.35,0.375,0.425,0.725,0.225
0.0568,0.05,0.075,0.1,0.225,0.6,0.625,0.05
0.0572,0.225,0.275,0.35,0.4,0.675,0.7,0.275
0.0576,0.15,0.2,0.475,0.625,0.725,0.8,0.175
0.058,0.025,0.5,0.525,0.625,0.725,0.75,0.05
0.0584,0.125,0.525,0.575,0.625,0.7,0.8,0.1
0.0588,0.025,0.2,0.275,0.3,0.675,0.775,0.3
0.0592,0.1,0.175,0.275,0.475,0.575,0.65,0.25
0.0596,0.075,0.125,0.275,0.6,0.675,0.7,0.375
0.06,0.325,0.4,0.475,0.5,0.575,0.825,0.225
0.0604,0.025,0.3,0.625,0.675,0.7,0.725,0.325
0.0608,0.175,0.25,0.325,0.4,0.675,0.7,0.175
0.0612,0.35,0.375,0.45,0.5,0.675,0.775,0.1
0.0616,0.325,0.35,0.675,0.725,0.8,0.825,0.2
0.062,0.125,0.325,0.5,0.575,0.6,0.625,0.075
0.0624,0.025,0.15,0.175,0.325,0.4,0.8,0.1
0.0628,0.05,0.2,0.275,0.325,0.6,0.775,0.375
0.0632,0.05,0.275,0.375,0.5,0.55,0.725,0.125
0.0636,0.25,0.3,0.525,0.55,0.75,0.825,0.15
0.064,0.075,0.2,0.4,0.425,0.525,0.725,0.15
0.0644,0.2,0.375,0.45,0.7,0.75,0.825,0.35
0.0648,0.05,0.175,0.325,0.4,0.575,0.7,0.4
