Red1,Red2,Red3,Red4,Red5,Red6,Blue balls
0.25,0.275,0.3,0.325,0.65,0.7,0.275
0.1,0.225,0.475,0.5,0.525,0.65,0.3
0.025,0.175,0.25,0.575,0.7,0.8,0.4
0.1,0.15,0.175,0.25,0.325,0.625,0.075
0.1,0.15,0.375,0.425,0.75,0.775,0.4
0.025,0.075,0.25,0.525,0.65,0.675,0.15
0.025,0.225,0.475,0.525,0.575,0.65,0.175
0.125,0.2,0.225,0.35,0.425,0.575,0.2
0.125,0.225,0.45,0.5,0.55,0.75,0.225
0.025,0.05,0.2,0.325,0.425,0.6,0.325
0.1,0.125,0.275,0.3,0.75,0.8,0.375
0.05,0.3,0.4,0.425,0.675,0.75,0.3
0.2,0.325,0.425,0.525,0.575,0.8,0.3
0.075,0.125,0.175,0.2,0.525,0.775,0.05
0.1,0.275,0.475,0.625,0.65,0.8,0.325
0.275,0.425,0.7,0.75,0.775,0.825,0.15
0.125,0.2,0.45,0.575,0.625,0.775,0.15
0.125,0.4,0.475,0.5,0.625,0.7,0.325
0.1,0.2,0.3,0.325,0.4,0.825,0.225
0.175,0.25,0.625,0.65,0.675,0.8,0.1
0.35,0.375,0.45,0.625,0.65,0.75,0.025
0.05,0.175,0.275,0.3,0.35,0.8,0.2
0.025,0.25,0.5,0.55,0.65,0.775,0.05
0.05,0.175,0.375,0.425,0.55,0.75,0.35
0.025,0.125,0.275,0.325,0.35,0.675,0.3
0.2,0.325,0.375,0.65,0.725,0.775,0.4
0.025,0.275,0.35,0.425,0.675,0.7,0.375
0.15,0.325,0.4,0.5,0.7,0.8,0.175
0.05,0.175,0.375,0.65,0.725,0.8,0.25
0.05,0.15,0.325,0.35,0.575,0.675,0.175
0.275,0.425,0.5,0.55,0.7,0.8,0.025
0.1,0.275,0.625,0.675,0.725,0.75,0.325
0.025,0.175,0.35,0.5,0.675,0.75,0.25
0.2,0.325,0.35,0.4,0.575,0.625,0.35
0.075,0.1,0.125,0.2,0.25,0.275,0.2
0.175,0.525,0.6,0.625,0.675,0.7,0.375
0.225,0.35,0.425,0.45,0.65,0.8,0.175
0.125,0.175,0.2,0.6,0.625,0.675,0.4
0.075,0.125,0.575,0.6,0.675,0.8,0.075
0.1,0.125,0.15,0.3,0.35,0.575,0.4
0.05,0.075,0.425,0.45,0.6,0.625,0.275
0.075,0.125,0.175,0.25,0.375,0.5,0.175
0.05,0.2,0.25,0.475,0.5,0.8,0.325
0.05,0.125,0.225,0.4,0.8,0.825,0.375
0.075,0.175,0.35,0.375,0.425,0.8,0.075
0.175,0.2,0.25,0.275,0.425,0.65,0.275
0.075,0.425,0.65,0.7,0.8,0.825,0.4
0.25,0.3,0.5,0.7,0.75,0.775,0.225
0.075,0.15,0.175,0.325,0.6,0.625,0.375
0.05,0.2,0.425,0.575,0.6,0.65,0.325
0.1,0.325,0.375,0.425,0.6,0.675,0.025
0.025,0.3,0.325,0.575,0.75,0.775,0.275
0.375,0.475,0.5,0.525,0.7,0.725,0.325
0.05,0.125,0.225,0.525,0.775,0.825,0.3
0.15,0.325,0.4,0.525,0.7,0.775,0.4
0.2,0.425,0.525,0.65,0.7,0.725,0.175
0.45,0.475,0.6,0.625,0.75,0.775,0.4
0.225,0.275,0.4,0.7,0.8,0.825,0.05
0.05,0.075,0.125,0.15,0.45,0.75,0.1
0.05,0.1,0.15,0.425,0.525,0.7,0.275
0.075,0.125,0.5,0.525,0.7,0.8,0.05
0.025,0.15,0.3,0.475,0.5,0.8,0.35
0.125,0.2,0.225,0.35,0.525,0.825,0.275
0.1,0.15,0.2,0.3,0.375,0.75,0.025
0.15,0.375,0.4,0.425,0.75,0.825,0.275
0.075,0.175,0.2,0.5,0.6,0.8,0.35
0.125,0.275,0.3,0.325,0.675,0.775,0.25
0.225,0.475,0.625,0.675,0.8,0.825,0.275
0.175,0.275,0.4,0.475,0.65,0.7,0.275
0.025,0.05,0.1,0.425,0.45,0.475,0.2
0.225,0.275,0.3,0.35,0.375,0.825,0.275
0.075,0.15,0.2,0.275,0.475,0.675,0.275
